GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Doctor Who App Backend,doctorwhoapp.backend.data.entities,DoctorEntity,35,3,0,0,15,1,10,1,10,1
Doctor Who App Backend,doctorwhoapp.backend.data.entities,BaseEntity,42,3,0,0,18,1,12,1,12,1
Doctor Who App Backend,doctorwhoapp.backend.data.entities,CompanionEntity,21,3,0,0,9,1,6,1,6,1
Doctor Who App Backend,doctorwhoapp.backend.data.entities,PersonEntity,7,3,0,0,3,1,2,1,2,1
Doctor Who App Backend,doctorwhoapp.backend.domain,BaseModel,24,0,0,0,10,0,7,0,7,0
Doctor Who App Backend,doctorwhoapp.backend.domain,Planet,0,15,0,0,0,3,0,1,0,1
Doctor Who App Backend,doctorwhoapp.backend.domain,Gender,0,15,0,0,0,3,0,1,0,1
Doctor Who App Backend,doctorwhoapp.backend.domain,Person,10,0,0,0,4,0,3,0,3,0
Doctor Who App Backend,doctorwhoapp.backend.domain,Doctor,44,0,0,0,19,0,14,0,14,0
Doctor Who App Backend,doctorwhoapp.backend.domain,Companion,24,0,0,0,10,0,7,0,7,0
Doctor Who App Backend,doctorwhoapp.backend.domain,Species,0,15,0,0,0,3,0,1,0,1
Doctor Who App Backend,doctorwhoapp.backend,DoctorWhoApplication,5,3,0,0,2,1,1,1,1,1
